Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Wharawhara Water Stn,1567,B75581,-37.57227,175.86206,132,H,N/A
Tauranga Aero Aws,1615,B76624,-37.673,176.196,4,G,Metservice
Whakamarama,1617,B76701,-37.73206,176.00218,255,H,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Station,Date(NZST),Percent(%),Depth(cm)

Evaporation (Priestley-Taylor ET)
Station,Date(NZST),Amount(mm),Period(Hrs),Type
1615,19980528:0900,0.5,24,T
1615,19980529:0900,0.4,24,T
1615,19980530:0900,0.4,24,T
1615,19980531:0900,0.4,24,T
1615,19980601:0900,0.6,24,T
1615,19980602:0900,0.4,24,T
1615,19980603:0900,0.4,24,T
1615,19980604:0900,0.3,24,T
1615,19980605:0900,0.2,24,T
1615,19980606:0900,0.3,24,T
1615,19980607:0900,0.1,24,T
1615,19980608:0900,0.2,24,T
1615,19980609:0900,0.5,24,T
1615,19980610:0900,0.3,24,T
1615,19980611:0900,0.3,24,T
1615,19980612:0900,0.2,24,T
1615,19980613:0900,0.1,24,T
1615,19980614:0900,0.1,24,T
1615,19980615:0900,0.3,24,T
1615,19980616:0900,0.2,24,T
1615,19980617:0900,0.2,24,T
1615,19980618:0900,0.1,24,T
1615,19980619:0900,0.2,24,T
1615,19980620:0900,0.2,24,T
1615,19980621:0900,0.1,24,T
1615,19980622:0900,0.2,24,T
1615,19980623:0900,0.3,24,T
1615,19980624:0900,0.4,24,T
1615,19980625:0900,0.2,24,T
1615,19980626:0900,0.2,24,T
1615,19980627:0900,0.1,24,T
1615,19980628:0900,0.2,24,T
1615,19980629:0900,0.1,24,T
1615,19980630:0900,0.3,24,T
1615,19980701:0900,0.1,24,T
1615,19980702:0900,0.1,24,T
1615,19980703:0900,0.3,24,T
1615,19980704:0900,0.2,24,T
1615,19980705:0900,0.2,24,T
1615,19980706:0900,0.2,24,T
1615,19980707:0900,0.2,24,T
1615,19980708:0900,0.3,24,T
1615,19980709:0900,0.3,24,T
1615,19980710:0900,0.0,24,T
1615,19980711:0900,0.2,24,T
1615,19980712:0900,0.1,24,T
1615,19980713:0900,0.4,24,T
1615,19980714:0900,0.3,24,T
1615,19980715:0900,0.1,24,T
1615,19980716:0900,0.4,24,T
1615,19980717:0900,0.3,24,T
1615,19980718:0900,0.3,24,T
1615,19980719:0900,0.4,24,T
1615,19980720:0900,0.4,24,T
1615,19980721:0900,0.3,24,T
1615,19980722:0900,0.3,24,T
1615,19980723:0900,0.3,24,T
1615,19980724:0900,0.3,24,T
1615,19980725:0900,0.3,24,T
1615,19980726:0900,0.2,24,T
1615,19980727:0900,0.2,24,T
1615,19980728:0900,0.6,24,T
1615,19980729:0900,0.8,24,T
1615,19980730:0900,0.5,24,T
1615,19980731:0900,0.8,24,T
1615,19980801:0900,0.6,24,T
1615,19980802:0900,0.3,24,T
1615,19980803:0900,0.7,24,T
1615,19980804:0900,0.7,24,T
1615,19980805:0900,0.7,24,T
1615,19980806:0900,0.7,24,T
1615,19980807:0900,0.7,24,T
1615,19980808:0900,0.4,24,T
1615,19980809:0900,0.9,24,T
1615,19980810:0900,0.4,24,T
1615,19980811:0900,0.3,24,T
1615,19980812:0900,1.2,24,T
1615,19980813:0900,1.2,24,T
1615,19980814:0900,1.0,24,T
1615,19980815:0900,1.4,24,T
1615,19980816:0900,1.2,24,T
1615,19980817:0900,1.0,24,T
1615,19980818:0900,0.9,24,T
1615,19980819:0900,0.5,24,T
1615,19980820:0900,0.3,24,T
1615,19980821:0900,1.2,24,T
1615,19980822:0900,1.1,24,T
1615,19980823:0900,1.1,24,T
1615,19980824:0900,1.3,24,T
1615,19980825:0900,1.0,24,T
1615,19980826:0900,0.9,24,T
1615,19980827:0900,0.8,24,T
1615,19980828:0900,0.4,24,T
1615,19980829:0900,2.0,24,T
1615,19980830:0900,1.5,24,T
1615,19980831:0900,0.7,24,T
1615,19980901:0900,1.5,24,T
1615,19980902:0900,1.4,24,T
1615,19980903:0900,1.3,24,T
1615,19980904:0900,1.7,24,T
1615,19980905:0900,1.5,24,T
1615,19980906:0900,1.6,24,T
1615,19980907:0900,0.6,24,T
1615,19980908:0900,1.6,24,T
1615,19980909:0900,1.8,24,T
1615,19980910:0900,1.6,24,T
1615,19980911:0900,1.3,24,T
1615,19980912:0900,1.9,24,T
1615,19980913:0900,2.1,24,T
1615,19980914:0900,2.3,24,T
1615,19980915:0900,2.2,24,T
1615,19980916:0900,0.8,24,T
1615,19980917:0900,0.5,24,T
1615,19980918:0900,2.9,24,T
1615,19980919:0900,2.3,24,T
