Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Wharawhara Water Stn,1567,B75581,-37.57227,175.86206,132,H,N/A
Tauranga Aero Aws,1615,B76624,-37.673,176.196,4,G,Metservice
Whakamarama,1617,B76701,-37.73206,176.00218,255,H,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.


Statistics codes in this query are:
Code,Description,Units
00,Total Rainfall,Mm
02,Mean Air Temperature,Celsius
17,Mean Daily Global Radiation,Mj/Sq M
35,Total Priestley-Taylor Potential Evapo-Transpiration,Mm
66,Mean Deficit Of Soil Moisture (Wbal Awc=150mm),Mm
Note: Statistics calculations are based on Local Time.
DAY OF EXTR gives the Local-Time day for a Monthly Extreme.
Stats: Monthly
Station,Mon-YYYY(local),Stat Code,Stat Value ,Day of Extr,
1567,Jan-2010,00,140.5,-,
1567,Jan-2010,66,82.3,-,
1567,Feb-2010,00,66.0,-,
1567,Feb-2010,66,69.9,-,
1567,Mar-2010,00,25.2,-,
1567,Mar-2010,66,115.4,-,
1567,Apr-2010,00,67.0,-,
1567,Apr-2010,66,100.6,-,
1567,May-2010,00,276.8,-,
1567,May-2010,66,33.0,-,
1567,Jun-2010,00,483.4,-,
1567,Jun-2010,66,0.5,-,
1567,Jul-2010,00,137.3,-,
1567,Jul-2010,66,1.8,-,
1567,Aug-2010,00,408.7,-,
1567,Aug-2010,66,0.6,-,
1567,Sep-2010,00,257.8,-,
1567,Sep-2010,66,1.8,-,
1567,Oct-2010,00,67.0,-,
1567,Oct-2010,66,15.8,-,
1567,Nov-2010,00,58.8,-,
1567,Nov-2010,66,79.4,-,
1567,Dec-2010,00,238.1,-,
1567,Dec-2010,66,57.4,-,
1567,Jan-2011,00,352.1,-,
1567,Jan-2011,66,42.6,-,
1567,Mar-2011,00,91.7,-,
1567,Apr-2011,00,208.3,-,
1567,May-2011,00,219.9,-,
1567,May-2011,66,1.7,-,
1567,Jun-2011,00,133.0,-,
1567,Jun-2011,66,1.2,-,
1567,Jul-2011,00,148.7,-,
1567,Jul-2011,66,1.1,-,
1567,Aug-2011,00,98.8,-,
1567,Aug-2011,66,4.9,-,
1567,Sep-2011,00,70.3,-,
1567,Sep-2011,66,7.1,-,
1567,Oct-2011,00,265.2,-,
1567,Oct-2011,66,8.1,-,
1567,Nov-2011,00,67.6,-,
1567,Nov-2011,66,35.0,-,
1567,Dec-2011,00,704.1,-,
1567,Dec-2011,66,11.1,-,
1567,Jan-2012,00,176.4,-,
1567,Jan-2012,66,25.2,-,
