"year","week","rainfall","evapotranspiration"
2002,33,14.666666666666668,5.6
2003,33,32.93333333333333,5.8
2004,33,49.06666666666666,5.1000000000000005
2005,33,0.3,9.299999999999999
2006,33,7.166666666666667,7.500000000000001
2007,33,58.7,5.4
2008,33,90.66666666666667,5.3
2009,33,86.33333333333334,4.1
2010,33,53.46666666666667,6.6
2011,33,7.266666666666667,6.9
2012,33,71.73333333333333,7.4
2013,33,57.13333333333333,7.0
2014,33,41.266666666666666,6.5
2015,33,50.86666666666667,5.400000000000001
2016,33,0.0,8.5
2017,33,9.799999999999999,7.499999999999999
1997,34,25.4,5.5
1998,34,21.366666666666667,6.1
1999,34,4.8999999999999995,9.899999999999999
2000,34,67.0,6.9
2001,34,34.06666666666667,6.199999999999999
2002,34,18.3,7.6
2003,34,29.9,6.6
2004,34,18.233333333333334,5.6
2005,34,65.16666666666666,7.8
2006,34,30.46666666666666,7.699999999999999
2007,34,0.23333333333333334,8.4
2008,34,83.13333333333333,6.200000000000001
2009,34,30.599999999999998,6.499999999999999
2010,34,67.53333333333335,9.7
2011,34,0.0,9.700000000000001
2012,34,24.066666666666666,9.0
2013,34,84.63333333333333,8.0
2014,34,82.66666666666667,7.3
2015,34,28.599999999999998,7.0
2016,34,82.33333333333333,6.6000000000000005
2017,34,28.0,9.1
1997,35,27.366666666666667,9.8
1998,35,45.86666666666667,7.9
1999,35,2.333333333333333,11.199999999999998
2000,35,54.30000000000001,9.899999999999999
2001,35,47.3,6.9
2002,35,1.7333333333333332,10.2
2003,35,40.233333333333334,8.399999999999999
2004,35,4.733333333333333,7.6
2005,35,0.0,11.9
2006,35,0.0,10.3
2007,35,46.33333333333333,9.1
2008,35,14.933333333333335,9.0
2009,35,62.433333333333344,8.9
2010,35,22.3,9.8
2011,35,20.333333333333332,10.5
2012,35,3.1999999999999997,10.799999999999999
2013,35,20.7,9.5
2014,35,5.2666666666666675,8.6
2015,35,8.866666666666667,8.9
2016,35,5.566666666666666,9.8
2017,35,211.13333333333333,7.1
1997,36,16.2,8.5
1998,36,1.9333333333333331,9.700000000000001
1999,36,23.066666666666666,11.400000000000002
2000,36,63.53333333333333,9.9
2001,36,66.83333333333333,10.2
2002,36,5.4,10.2
2003,36,54.599999999999994,9.4
2004,36,16.46666666666667,7.800000000000001
2005,36,14.100000000000001,9.1
2006,36,47.46666666666667,8.9
2007,36,24.36666666666667,9.5
2008,36,17.266666666666666,12.1
2009,36,32.2,10.299999999999999
2010,36,117.4,7.0
2011,36,1.0,14.5
2012,36,57.06666666666666,10.7
2013,36,13.399999999999999,11.5
2014,36,27.6,9.0
2015,36,212.23333333333332,7.8999999999999995
2016,36,13.6,10.5
2017,36,22.799999999999997,10.0
1997,37,94.56666666666668,8.8
1998,37,15.066666666666666,10.899999999999999
1999,37,98.20000000000002,13.2
2000,37,6.5,14.200000000000001
2001,37,25.433333333333334,12.4
2002,37,13.399999999999999,12.4
2003,37,34.733333333333334,10.6
2004,37,5.666666666666666,12.5
2005,37,108.7,11.8
2006,37,3.6666666666666665,11.200000000000001
2007,37,30.833333333333332,12.599999999999998
2008,37,83.9,11.100000000000001
2009,37,15.133333333333333,11.2
2010,37,58.96666666666667,12.299999999999999
2011,37,50.53333333333333,12.2
2012,37,52.43333333333334,13.9
2013,37,32.8,10.600000000000001
2014,37,97.85,11.0
2015,37,24.400000000000002,10.899999999999999
2016,37,29.566666666666666,9.899999999999999
2017,37,28.0,13.0
1997,38,7.9,14.3
1998,38,48.30000000000001,12.5
1999,38,14.966666666666665,15.8
2000,38,2.066666666666667,14.5
2001,38,3.833333333333333,15.7
2002,38,48.400000000000006,11.8
2003,38,37.96666666666667,13.1
2004,38,46.3,11.0
2005,38,23.299999999999997,13.099999999999998
2006,38,1.6666666666666667,15.600000000000001
2007,38,33.166666666666664,12.5
2008,38,13.666666666666668,15.6
2009,38,7.3999999999999995,15.500000000000002
2010,38,31.266666666666666,15.5
2011,38,4.233333333333333,15.399999999999999
2012,38,19.2,13.600000000000001
2013,38,28.6,11.8
2014,38,45.483333333333334,9.2
2015,38,21.53333333333333,14.6
2016,38,110.69999999999999,9.4
2017,38,31.0,13.599999999999998
1997,39,123.26666666666665,9.299999999999999
1998,39,12.0,15.4
1999,39,6.233333333333333,19.8
2000,39,31.9,12.6
2001,39,0.0,18.9
2002,39,5.133333333333334,17.0
2003,39,10.466666666666665,15.8
2004,39,58.766666666666666,11.800000000000002
2005,39,13.933333333333334,12.8
2006,39,0.0,21.799999999999997
2007,39,22.333333333333336,14.9
2008,39,1.1666666666666667,16.4
2009,39,74.39999999999999,12.199999999999998
2010,39,15.333333333333332,18.0
2011,39,13.066666666666666,16.000000000000004
2012,39,15.666666666666668,12.6
2013,39,43.4,16.9
2014,39,35.86666666666666,18.0
2015,39,52.833333333333336,14.8
